name,true_cps,found_cps,f1_score,covering_score,cac
Computers,[5625],[10965],0.5,0.494,[1. 1. 1. ... 1. 1. 1.]
CricketX,"[712, 1293, 1930, 2586]","[1279, 1924, 709, 2584]",1.0,0.984,[1. 1. 1. ... 1. 1. 1.]
CricketY,"[525, 1162, 1837, 2399]","[1822, 2387, 1148, 1912]",0.8,0.77,[1. 1. 1. ... 1. 1. 1.]
CricketZ,"[600, 1106, 1574, 2174]","[1549, 1090, 550, 1458]",0.6,0.698,[1. 1. 1. ... 1. 1. 1.]
DiatomSizeReduction,"[517, 948]","[943, 511]",1.0,0.983,[1. 1. 1. ... 1. 1. 1.]
DistalPhalanxOutlineAgeGroup,[300],[251],0.5,0.933,[1. 1. 1. ... 1. 1. 1.]
DistalPhalanxTW,"[580, 2220]","[570, 466]",0.667,0.724,[1. 1. 1. ... 1. 1. 1.]
Earthquakes,[8448],[9571],0.5,0.795,[1. 1. 1. ... 1. 1. 1.]
ECG200,[744],[705],0.5,0.968,[1. 1. 1. ... 1. 1. 1.]
ECG5000,[1277],[1272],1.0,0.995,[1. 1. 1. ... 1. 1. 1.]
