name,true_cps,found_cps,f1_score,covering_score
OSULeaf,"[907, 1680]","[330, 2010]",0.333,0.366
Plane,"[540, 1044, 1368, 1944, 2412, 3060]","[1075, 1365, 2110, 2660, 3200, 3460]",0.429,0.553
ProximalPhalanxOutlineAgeGroup,"[720, 2110]","[705, 2055]",0.667,0.966
ProximalPhalanxTW,"[320, 2500, 3660]","[950, 1890, 3930]",0.25,0.444
ShapesAll,"[1280, 2560, 3840, 5120]","[1445, 2055, 2640, 3570]",0.2,0.599
SonyAIBORobotSurface1,[420],[1305],0.5,0.539
SonyAIBORobotSurface2,[715],[860],0.5,0.849
StarLightCurves,"[486, 1366]","[1925, 2440]",0.333,0.401
SwedishLeaf,"[928, 2080, 3200]","[1035, 1745, 2005]",0.25,0.607
Symbols,"[796, 1293, 1591]","[100, 200, 995]",0.25,0.429
SyntheticControl,"[750, 1500, 2250, 3000]","[1875, 2255, 2730, 2995]",0.6,0.585
ToeSegmentation1,[1385],[825],0.5,0.654
ToeSegmentation2,[1543],[1620],0.5,0.951
Trace,"[1443, 2955]","[1855, 3710]",0.333,0.636
TwoLeadECG,[246],[320],0.5,0.722
TwoPatterns,"[2168, 4064, 6064]","[2170, 3975, 4695]",0.5,0.725
UWaveGestureLibraryAll,"[1801, 3395, 4960, 6584]","[4765, 6065, 7280, 7960]",0.2,0.392
UWaveGestureLibraryX,"[600, 1131, 1652, 2193]","[1965, 2210, 2525, 2805]",0.4,0.355
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[1410, 1630, 2195, 2630]",0.6,0.578
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[450, 1330, 1620, 1915]",0.2,0.618
Wafer,[115],[40],0.5,0.878
WordSynonyms,"[202, 2227]","[195, 1680]",0.667,0.713
Worms,"[435, 786]","[285, 975]",0.333,0.586
Yoga,[7295],[6190],0.5,0.869
Crop,"[1725, 3450, 5175, 8625, 12075, 15525, 17250, 18975]","[1735, 3925, 8940, 11560, 12870, 14320, 18090, 19190]",0.222,0.627
EOGHorizontalSignal,"[1406, 2812, 4218]","[2840, 4245, 4650]",0.75,0.63
EOGVerticalSignal,"[1406, 2812, 3749, 5155, 6608]","[1355, 1875, 2840, 4170, 5345]",0.5,0.643
FreezerRegularTrain,"[2257, 4514, 7900]","[805, 4645, 7730]",0.25,0.748
Ham,"[1400, 2935, 4335]","[415, 3350, 4105]",0.25,0.564
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[680, 1135, 2155, 2755, 3095, 3835]",0.286,0.75
MiddlePhalanxOutlineAgeGroup,"[880, 2608, 6400, 7720]","[345, 5000, 6505, 7465]",0.2,0.563
MiddlePhalanxOutlineCorrect,"[1060, 3000, 4060]","[730, 3010, 3690]",0.5,0.832
PowerCons,"[405, 810, 1215]","[575, 705, 805]",0.5,0.529
ProximalPhalanxOutlineCorrect,"[776, 3212, 4376]","[75, 770, 4380]",0.75,0.722
Strawberry,"[804, 2250, 3054]","[2255, 2695, 3060]",0.75,0.764
Chinatown,[],[],1.0,1.0
DodgerLoopDay,[],[],1.0,1.0
Herring,[],[],1.0,1.0
MiddlePhalanxTW,[],[],1.0,1.0
ShapeletSim,[],[],1.0,1.0
UMD,[],[],1.0,1.0
