name,true_cps,found_cps,f1_score,covering_score
OSULeaf,"[907, 1680]","[1690, 2015]",0.667,0.56
Plane,"[540, 1044, 1368, 1944, 2412, 3060]","[2030, 2255, 2560, 3100, 3460, 3740]",0.143,0.407
ProximalPhalanxOutlineAgeGroup,"[720, 2110]","[3130, 3960]",0.333,0.403
ProximalPhalanxTW,"[320, 2500, 3660]","[950, 1890, 3930]",0.25,0.444
ShapesAll,"[1280, 2560, 3840, 5120]","[1450, 2055, 4190, 4810]",0.2,0.649
SonyAIBORobotSurface1,[420],[1305],0.5,0.539
SonyAIBORobotSurface2,[715],[990],0.5,0.73
StarLightCurves,"[486, 1366]","[1665, 2660]",0.333,0.501
SwedishLeaf,"[928, 2080, 3200]","[20, 340, 620]",0.25,0.314
Symbols,"[796, 1293, 1591]","[995, 1095, 1815]",0.25,0.5
SyntheticControl,"[750, 1500, 2250, 3000]","[880, 1845, 2415, 3135]",0.2,0.668
ToeSegmentation1,[1385],[1905],0.5,0.676
ToeSegmentation2,[1543],[1620],0.5,0.951
Trace,"[1443, 2955]","[4085, 5050]",0.333,0.4
TwoLeadECG,[246],[],0.0,0.0
TwoPatterns,"[2168, 4064, 6064]","[3150, 3975, 5310]",0.25,0.613
UWaveGestureLibraryAll,"[1801, 3395, 4960, 6584]","[4810, 6065, 7280, 7960]",0.2,0.395
UWaveGestureLibraryX,"[600, 1131, 1652, 2193]","[1965, 2230, 2555, 2780]",0.2,0.356
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[1340, 1640, 2195, 2630]",0.6,0.618
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[225, 450, 1610, 1975]",0.2,0.511
Wafer,[115],[765],0.5,0.509
WordSynonyms,"[202, 2227]","[2015, 2150]",0.333,0.745
Worms,"[435, 786]","[510, 975]",0.333,0.656
Yoga,[7295],[4030],0.5,0.647
Crop,"[1725, 3450, 5175, 8625, 12075, 15525, 17250, 18975]","[605, 2410, 5355, 7770, 11220, 16130, 18120, 19430]",0.222,0.576
EOGHorizontalSignal,"[1406, 2812, 4218]","[2840, 4245, 4650]",0.75,0.63
EOGVerticalSignal,"[1406, 2812, 3749, 5155, 6608]","[1355, 1830, 2840, 4170, 5345]",0.5,0.648
FreezerRegularTrain,"[2257, 4514, 7900]","[805, 2155, 4415]",0.75,0.598
Ham,"[1400, 2935, 4335]","[695, 3630, 4505]",0.25,0.595
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[545, 1025, 1505, 3545, 4385, 4865]",0.286,0.496
MiddlePhalanxOutlineAgeGroup,"[880, 2608, 6400, 7720]","[6505, 8295, 9175, 10055]",0.2,0.438
MiddlePhalanxOutlineCorrect,"[1060, 3000, 4060]","[730, 3010, 3690]",0.5,0.832
PowerCons,"[405, 810, 1215]","[680, 870, 1385]",0.25,0.483
ProximalPhalanxOutlineCorrect,"[776, 3212, 4376]","[770, 4380, 5940]",0.75,0.725
Strawberry,"[804, 2250, 3054]","[3290, 3790, 5200]",0.25,0.41
Chinatown,[],[],0.0,0.0
DodgerLoopDay,[],[],1.0,1.0
Herring,[],[],1.0,1.0
MiddlePhalanxTW,[],[],1.0,1.0
ShapeletSim,[],[],1.0,1.0
UMD,[],[],1.0,1.0
