name,true_cps,found_cps,f1_score,covering_score
Plane,"[540, 1044, 1368, 1944, 2412, 3060]","[2030, 2255, 2560, 3100, 3460, 3740]",0.143,0.407
ProximalPhalanxOutlineAgeGroup,"[720, 2110]","[2565, 2845]",0.333,0.528
ProximalPhalanxTW,"[320, 2500, 3660]","[950, 1890, 3930]",0.25,0.444
ShapesAll,"[1280, 2560, 3840, 5120]","[1450, 2055, 2800, 4810]",0.2,0.608
SonyAIBORobotSurface1,[420],[1305],0.5,0.539
SonyAIBORobotSurface2,[715],[350],0.5,0.638
StarLightCurves,"[486, 1366]",[],0.0,0.0
SwedishLeaf,"[928, 2080, 3200]","[20, 340, 620]",0.25,0.314
Symbols,"[796, 1293, 1591]","[50, 745, 945]",0.25,0.551
SyntheticControl,"[750, 1500, 2250, 3000]","[880, 1845, 2415, 3135]",0.2,0.668
ToeSegmentation1,[1385],[1750],0.5,0.764
ToeSegmentation2,[1543],[1620],0.5,0.951
Trace,"[1443, 2955]","[4085, 5050]",0.333,0.4
TwoLeadECG,[246],[320],0.5,0.722
TwoPatterns,"[2168, 4064, 6064]","[2915, 4350, 4770]",0.25,0.554
UWaveGestureLibraryAll,"[1801, 3395, 4960, 6584]","[565, 3710, 5900, 6330]",0.2,0.517
UWaveGestureLibraryX,"[600, 1131, 1652, 2193]","[1185, 1515, 1770, 2090]",0.2,0.613
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[1280, 2180, 2385, 2700]",0.4,0.466
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[225, 1135, 1340, 2380]",0.4,0.518
Wafer,[115],[325],0.5,0.76
WordSynonyms,"[202, 2227]","[195, 2150]",0.667,0.94
Worms,"[435, 786]","[790, 1175]",0.667,0.631
Yoga,[7295],[7490],0.5,0.976
Crop,"[1725, 3450, 5175, 8625, 12075, 15525, 17250, 18975]","[605, 2410, 5355, 7770, 11220, 16130, 18120, 19430]",0.222,0.576
EOGHorizontalSignal,"[1406, 2812, 4218]","[2840, 4245, 4650]",0.75,0.63
EOGVerticalSignal,"[1406, 2812, 3749, 5155, 6608]","[1355, 1830, 2840, 4170, 5345]",0.5,0.648
FreezerRegularTrain,"[2257, 4514, 7900]","[805, 2155, 4415]",0.75,0.598
Ham,"[1400, 2935, 4335]","[1570, 3240, 4505]",0.25,0.806
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[545, 1025, 1505, 3545, 4385, 4865]",0.286,0.496
MiddlePhalanxOutlineAgeGroup,"[880, 2608, 6400, 7720]","[6505, 8295, 9175, 10055]",0.2,0.438
MiddlePhalanxOutlineCorrect,"[1060, 3000, 4060]","[730, 3010, 3690]",0.5,0.832
PowerCons,"[405, 810, 1215]","[450, 765, 1275]",0.25,0.807
ProximalPhalanxOutlineCorrect,"[776, 3212, 4376]","[715, 4380, 4755]",0.5,0.658
Strawberry,"[804, 2250, 3054]","[3290, 3790, 5200]",0.25,0.41
Chinatown,[],[],1.0,1.0
DodgerLoopDay,[],[],1.0,1.0
Herring,[],[],1.0,1.0
MiddlePhalanxTW,[],[],1.0,1.0
ShapeletSim,[],[],0.0,0.0
UMD,[],[],1.0,1.0
