name,true_cps,found_cps,f1_score,covering_score
ProximalPhalanxOutlineAgeGroup,"[720, 2110]","[2565, 2845]",0.333,0.528
ProximalPhalanxTW,"[320, 2500, 3660]","[950, 1890, 3930]",0.25,0.444
ShapesAll,"[1280, 2560, 3840, 5120]","[3795, 4765, 5165, 5625]",0.6,0.46
SonyAIBORobotSurface1,[420],[1310],0.5,0.541
SonyAIBORobotSurface2,[715],[1640],0.5,0.49
StarLightCurves,"[486, 1366]","[1700, 2540]",0.333,0.448
SwedishLeaf,"[928, 2080, 3200]","[1035, 1990, 3695]",0.25,0.731
Symbols,"[796, 1293, 1591]","[50, 745, 945]",0.25,0.551
SyntheticControl,"[750, 1500, 2250, 3000]","[880, 1845, 2415, 3135]",0.2,0.668
ToeSegmentation1,[1385],[1750],0.5,0.764
ToeSegmentation2,[1543],[2620],0.5,0.469
Trace,"[1443, 2955]","[4085, 5050]",0.333,0.4
TwoLeadECG,[246],[275],0.5,0.883
TwoPatterns,"[2168, 4064, 6064]","[1335, 2485, 5670]",0.25,0.587
UWaveGestureLibraryAll,"[1801, 3395, 4960, 6584]","[3555, 5755, 7300, 7890]",0.2,0.44
UWaveGestureLibraryX,"[600, 1131, 1652, 2193]","[1965, 2230, 2555, 2780]",0.2,0.356
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[1340, 1640, 2195, 2630]",0.6,0.618
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[225, 450, 1610, 1975]",0.2,0.511
Wafer,[115],[765],0.5,0.509
WordSynonyms,"[202, 2227]","[720, 2105]",0.333,0.643
Worms,"[435, 786]","[495, 1175]",0.333,0.612
Yoga,[7295],[2170],0.5,0.488
Crop,"[1725, 3450, 5175, 8625, 12075, 15525, 17250, 18975]","[1735, 4155, 7735, 9045, 11560, 14320, 18090, 19190]",0.222,0.622
EOGHorizontalSignal,"[1406, 2812, 4218]","[2840, 4245, 4650]",0.75,0.63
EOGVerticalSignal,"[1406, 2812, 3749, 5155, 6608]","[1355, 1830, 2840, 4170, 5345]",0.5,0.648
FreezerRegularTrain,"[2257, 4514, 7900]","[805, 2155, 4415]",0.75,0.598
Ham,"[1400, 2935, 4335]","[695, 3630, 4505]",0.25,0.595
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[665, 965, 2385, 3105, 3810, 4640]",0.143,0.595
MiddlePhalanxOutlineAgeGroup,"[880, 2608, 6400, 7720]","[6505, 8295, 9175, 10055]",0.2,0.438
MiddlePhalanxOutlineCorrect,"[1060, 3000, 4060]","[730, 3010, 3690]",0.5,0.832
PowerCons,"[405, 810, 1215]","[50, 690, 860]",0.25,0.473
ProximalPhalanxOutlineCorrect,"[776, 3212, 4376]","[715, 4380, 4755]",0.5,0.658
Strawberry,"[804, 2250, 3054]","[1665, 3525, 5200]",0.25,0.498
Chinatown,[],[],1.0,1.0
DodgerLoopDay,[],[],1.0,1.0
Herring,[],[],1.0,1.0
MiddlePhalanxTW,[],[],1.0,1.0
ShapeletSim,[],[],1.0,1.0
UMD,[],[],1.0,1.0
