,dataset,Human,FFT,ACF,SuSS,MWF,Autoperiod,RobustPeriod
143,InternalBleeding9,82,175,175,78,174,1215,35
144,Lab2Cmac011215EPG1,50,17,34,38,34,34,17
145,Lab2Cmac011215EPG2,70,17,34,38,34,34,17
146,Lab2Cmac011215EPG3,30,17,34,38,34,34,17
147,Lab2Cmac011215EPG4,130,34,35,40,34,34,17
148,Lab2Cmac011215EPG5,130,17,35,40,34,35,35
149,Lab2Cmac011215EPG6,230,17,35,40,34,35,35
150,MesoplodonDensirostris,160,192,49,112,169,-1,278
151,PowerDemand1,336,23,168,44,158,24,12
152,PowerDemand2,360,24,168,44,60,24,12
153,PowerDemand3,72,23,168,46,61,24,12
154,PowerDemand4,72,23,168,44,58,24,12
155,TkeepFifthMARS,97,97,98,60,98,98,16
156,TkeepFirstMARS,15,97,98,60,98,98,16
157,TkeepForthMARS,97,97,98,60,98,98,16
158,TkeepSecondMARS,10,97,98,60,98,98,16
159,TkeepThirdMARS,98,97,98,60,98,98,16
160,WalkingAceleration1,231,57,113,56,58,57,380
161,WalkingAceleration5,59,56,113,58,57,57,56
162,apneaecg2,150,90,996,98,-1,124,100
163,apneaecg3,100,50,969,100,-1,48,51
164,apneaecg4,100,50,906,98,-1,35,48
165,apneaecg,68,90,996,98,-1,124,100
166,gait1,300,312,313,92,313,313,156
167,gait2,300,314,313,92,312,313,156
168,gait3,600,314,313,92,312,313,156
169,gaitHunt1,110,324,331,98,336,328,86
170,gaitHunt2,650,324,331,98,336,328,86
171,gaitHunt3,800,320,328,98,332,325,86
172,insectEPG1,30,26,26,26,26,26,87
173,insectEPG2,25,26,26,26,26,26,233
174,insectEPG3,50,26,26,26,26,26,26
175,insectEPG4,50,26,26,26,26,26,13
176,insectEPG5,1,26,26,26,26,26,67
177,ltstdbs30791AI,200,114,231,96,301,112,230
178,ltstdbs30791AS,200,118,234,96,237,116,77
179,ltstdbs30791ES,200,229,233,96,232,232,115
180,park3m,345,350,356,102,369,355,87
181,qtdbSel1005V,400,190,184,88,-1,184,191
182,qtdbSel100MLII,400,190,189,88,164,190,4
183,resperation10,1180,470,470,112,473,470,9
184,resperation11,1,471,470,112,472,470,9
185,resperation1,152,469,470,114,471,470,9
186,resperation2,0,468,470,112,476,470,9
187,resperation2,1,468,470,112,476,470,9
188,resperation3,1,468,470,112,474,470,9
189,resperation4,1,469,470,112,472,470,9
190,resperation9,100,469,470,112,474,470,9
191,s20101mML2,100,36,108,72,109,108,54
192,s20101m,100,108,108,64,109,108,109
193,sddb49,250,139,276,130,283,4055,-1
194,sel840mECG1,370,86,172,88,179,62,35
195,sel840mECG2,370,173,173,94,185,173,57
196,tiltAPB1,67,235,238,96,240,238,122
197,tiltAPB2,826,243,240,94,239,239,122
198,tiltAPB3,370,243,240,94,237,241,122
199,tiltAPB4,1,243,243,94,240,242,122
200,CHARISfive,15,33,33,34,33,33,17
201,CHARISfive,30,33,33,84,77,1772,16
202,CHARISfive,33,33,33,46,34,33,33
203,CHARISfive,70,32,33,88,34,32,17
204,CHARISfive,90,516,33,84,36,32,16
205,CHARISten,60,37,37,136,37,37,37
206,CHARISten,60,37,37,40,37,37,19
207,CHARISten,60,37,37,38,37,37,37
208,Fantasia,300,65,262,118,275,262,258
209,Italianpowerdemand,96,96,672,74,233,96,4
210,Italianpowerdemand,96,96,672,74,243,96,4
211,Italianpowerdemand,24,24,168,44,136,24,12
212,STAFFIIIDatabase,450,431,868,130,870,433,17
213,STAFFIIIDatabase,650,433,864,130,886,864,110
214,STAFFIIIDatabase,650,431,866,134,874,866,110
215,STAFFIIIDatabase,650,432,865,132,864,865,17
216,STAFFIIIDatabase,650,434,862,130,896,862,110
217,STAFFIIIDatabase,650,432,864,130,863,864,17
218,STAFFIIIDatabase,220,866,863,130,864,863,17
219,STAFFIIIDatabase,650,432,16,126,-1,432,17
220,STAFFIIIDatabase,1220,860,857,134,865,857,17
221,mit14046longtermecg,500,100,99,78,99,99,51
222,mit14046longtermecg,500,100,99,104,100,99,50
223,mit14046longtermecg,500,100,99,76,99,99,50
224,mit14046longtermecg,300,49,99,104,100,99,52
225,mit14046longtermecg,300,45,183,100,167,49,101
226,mit14134longtermecg,100,76,232,90,235,119,118
227,mit14134longtermecg,20,133,44,98,-1,907,66
228,mit14134longtermecg,10,64,128,86,-1,128,132
229,mit14134longtermecg,100,691,41,100,-1,689,127
230,mit14134longtermecg,260,132,238,92,-1,56,133
231,mit14134longtermecg,260,132,238,92,-1,56,133
232,mit14157longtermecg,1,56,113,82,113,113,56
233,mit14157longtermecg,1,114,115,100,116,115,57
234,mit14157longtermecg,1,57,114,80,114,114,23
235,mit14157longtermecg,40,115,115,88,115,115,-1
236,mit14157longtermecg,810,103,105,84,108,105,26
237,mit14157longtermecg,180,114,115,90,116,115,2
238,taichidbS0715Master,64,763,769,142,-1,1534,191
239,taichidbS0715Master,100,762,-1,142,-1,1534,190
240,taichidbS0715Master,1700,762,783,142,-1,1514,253
241,tilt12744mtable,260,320,306,120,310,-1,226
242,tilt12744mtable,45,289,272,118,278,253,203
243,tilt12754table,260,167,166,110,166,166,55
244,tilt12754table,270,167,166,110,166,166,33
245,tilt12755mtable,270,236,237,122,238,-1,227
246,tilt12755mtable,80,236,236,120,236,236,227
247,weallwalk,5,11,24,34,93,8,24
248,weallwalk,30,11,24,40,13,8,125
249,weallwalk,6,11,24,42,13,8,84
